怦然心动主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因上映时间：2010-08-06(美国)
美丽心灵主演：罗素·克劳,詹妮弗·康纳利,艾德·哈里斯上映时间：2001-12-21(美国)
夜访吸血鬼主演：汤姆·克鲁斯,布拉德·皮特,克斯汀·邓斯特上映时间：1994-11-11(美国)
大话西游之月光宝盒主演：周星驰,莫文蔚,吴孟达上映时间：2014-10-24
蝙蝠侠：黑暗骑士崛起主演：克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼上映时间：2012-08-27
无敌破坏王主演：约翰·C·赖利,萨拉·西尔弗曼,简·林奇上映时间：2012-11-06
钢琴家主演：艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基上映时间：2002-09-25(法国)
本杰明·巴顿奇事主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森上映时间：2008-12-25(美国)
倩女幽魂主演：张国荣,王祖贤,午马上映时间：2011-04-30
哈利·波特与死亡圣器（下）主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃森上映时间：2011-08-04
初恋这件小事主演：马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考上映时间：2012-06-05
新龙门客栈主演：张曼玉,梁家辉,甄子丹上映时间：2012-02-24
甜蜜蜜主演：黎明,张曼玉,曾志伟上映时间：2015-02-13
触不可及主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼上映时间：2011-11-02(法国)
熔炉主演：孔刘,郑有美,金智英上映时间：2011-09-22(韩国)
大话西游之大圣娶亲主演：周星驰,朱茵,莫文蔚上映时间：2014-10-24
小鞋子主演：默罕默德·阿米尔·纳吉,KamalMirkarimi,BehzadRafi上映时间：1999-01-22(美国)
素媛主演：李来,薛耿求,严志媛上映时间：2013-10-02(韩国)
萤火之森主演：内山昂辉,佐仓绫音,后藤弘树上映时间：2011-09-17(日本)
窃听风暴主演：乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克上映时间：2006-03-23(德国)
穿条纹睡衣的男孩主演：阿萨·巴特菲尔德,维拉·法米加,大卫·休里斯上映时间：2008-09-12(英国)
时空恋旅人主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊上映时间：2013-09-04(英国)
7号房的礼物主演：柳承龙,郑镇荣,朴信惠上映时间：2013-01-23(韩国)
借东西的小人阿莉埃蒂主演：志田未来,神木隆之介,大竹忍上映时间：2010-07-17(日本)
海豚湾主演：里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯上映时间：2009-07-31(美国)
恐怖直播主演：河正宇,李璟荣,李大为上映时间：2013-07-31(韩国)
忠犬八公物语主演：仲代达矢,春川真澄,井川比佐志上映时间：1987-08-01(日本)
